,weight,score,udstatus,tradestatus,amt
000636.SZ,0.0,-5940.0,0.0,4,740961387.0
000637.SZ,0.0,-5940.0,0.0,4,25329786.0
000638.SZ,0.0,-5940.0,0.0,4,40950277.0
000639.SZ,0.0,-5940.0,0.0,4,26539288.0
000650.SZ,0.0,-5940.0,0.0,4,208121296.0
000651.SZ,0.0,-5940.0,0.0,4,884473175.0
000652.SZ,0.0,-5940.0,0.0,4,68836222.0
000655.SZ,0.0,-5940.0,0.0,4,29728838.0
000656.SZ,0.0,-5940.0,0.0,4,184714613.0
000657.SZ,0.0,-5940.0,0.0,4,156017883.0
000659.SZ,0.0,-5940.0,0.0,4,40396733.0
000661.SZ,0.0,-5940.0,0.0,4,840520784.0
000663.SZ,0.0,-462.0,0.0,4,82026899.0
000665.SZ,0.0,-5940.0,0.0,4,407303208.0
000666.SZ,0.0,-5940.0,0.0,4,54066427.0
000667.SZ,0.0,-5940.0,0.0,4,108722493.0
000668.SZ,0.0,-5940.0,0.0,4,14801980.0
000669.SZ,0.0,-5940.0,0.0,4,6230866.0
000670.SZ,0.0,-5940.0,0.0,4,664297541.0
000671.SZ,0.0,-5940.0,0.0,4,82885713.0
000672.SZ,0.0,-5940.0,0.0,4,52354323.0
000676.SZ,0.0,-5940.0,0.0,4,434797033.0
000677.SZ,0.0,-5940.0,0.0,4,20446364.0
000678.SZ,0.0,-5940.0,0.0,4,23396577.0
000679.SZ,0.0,-5940.0,0.0,4,19525588.0
000680.SZ,0.0,-5940.0,0.0,4,52415826.0
000681.SZ,0.0,-5940.0,0.0,4,972226398.0
000682.SZ,0.0,-5940.0,0.0,4,200431504.0
000683.SZ,0.0,-5940.0,0.0,4,217567920.0
000685.SZ,0.0,-5940.0,0.0,4,30865970.0
000686.SZ,0.0,-5940.0,0.0,4,50244417.0
000688.SZ,0.0,-5940.0,0.0,4,195442078.0
000690.SZ,0.0,-5940.0,0.0,4,228292594.0
000691.SZ,0.0,-5940.0,0.0,4,18324253.0
000692.SZ,0.0,-5940.0,0.0,4,41513873.0
000695.SZ,0.0,-5940.0,0.0,4,22470226.0
000697.SZ,0.0,-5940.0,0.0,4,136255014.0
000698.SZ,0.0,-5940.0,0.0,4,26008516.0
000700.SZ,0.0,-462.0,0.0,4,65105295.0
000701.SZ,0.0,-5940.0,0.0,4,66196516.0
000702.SZ,0.0,-5940.0,0.0,4,36373577.0
000703.SZ,0.0,-5940.0,0.0,4,317727002.0
000705.SZ,0.0,-5940.0,0.0,4,26138787.0
000707.SZ,0.0,-1137.0,0.0,4,61586076.0
000708.SZ,0.0,-5940.0,0.0,4,114727962.0
000709.SZ,0.0,-5940.0,0.0,4,111831791.0
000710.SZ,0.0,-5940.0,0.0,4,110211031.0
000711.SZ,0.0,-5940.0,0.0,4,32782542.0
000712.SZ,0.0,-5940.0,0.0,4,73547551.0
000713.SZ,0.0,-5940.0,0.0,4,260374279.0
000715.SZ,0.0,-5940.0,0.0,4,98042505.0
000716.SZ,0.0,-5940.0,0.0,4,507315782.0
000717.SZ,0.0,-5940.0,0.0,4,43153079.0
000718.SZ,0.0,-5940.0,0.0,4,27539203.0
000719.SZ,0.0,-5940.0,0.0,4,203341624.0
000720.SZ,0.0,-5940.0,0.0,4,22055205.0
000721.SZ,0.0,-5940.0,0.0,4,916669842.0
000722.SZ,0.0,-5940.0,0.0,4,93691793.0
000723.SZ,0.0,-5940.0,0.0,4,285073951.0
000725.SZ,0.0,-5940.0,0.0,4,1794621017.0
000726.SZ,0.0,-97.0,0.0,4,45086640.0
000727.SZ,0.0,-5940.0,0.0,4,60856615.0
000728.SZ,0.0,-5940.0,0.0,4,177873026.0
000729.SZ,0.0,-1137.0,0.0,4,207719667.0
000731.SZ,0.0,-5940.0,0.0,4,36262830.0
000732.SZ,0.0,-5940.0,0.0,4,29542356.0
000733.SZ,0.0,-1137.0,0.0,4,606490016.0
000735.SZ,0.0,-97.0,0.0,4,563775240.0
000736.SZ,0.0,-5940.0,1.0,4,167704785.0
000737.SZ,0.0,-5940.0,0.0,4,74355689.0
000738.SZ,0.0,-5940.0,0.0,4,211435815.0
000739.SZ,0.0,-462.0,0.0,4,203486635.0
000750.SZ,0.0,-5940.0,0.0,4,66295855.0
000751.SZ,0.0,-5940.0,0.0,4,46408524.0
000752.SZ,0.0,-5940.0,0.0,4,6883114.0
000753.SZ,0.0,-5940.0,0.0,4,31420392.0
000755.SZ,0.0,-5940.0,0.0,4,52733938.0
000756.SZ,0.0,-5940.0,0.0,4,783083762.0
000757.SZ,0.0,-5940.0,0.0,4,47257428.0
000758.SZ,0.0,-5940.0,0.0,4,156198003.0
000759.SZ,0.0,-5940.0,0.0,4,48572253.0
000761.SZ,0.0,-5940.0,0.0,4,66871893.0
000762.SZ,0.0,-1137.0,0.0,4,292838645.0
000766.SZ,0.0,-5940.0,0.0,4,27832784.0
000767.SZ,0.0,-5940.0,0.0,4,42969317.0
000768.SZ,0.0,-5940.0,0.0,4,804766707.0
000776.SZ,0.0,-5940.0,0.0,4,755064123.0
000777.SZ,0.0,-5940.0,0.0,4,54265312.0
000778.SZ,0.0,-5940.0,0.0,4,450552679.0
000779.SZ,0.0,-5940.0,0.0,4,254301612.0
000782.SZ,0.0,-5940.0,0.0,4,27094800.0
000783.SZ,0.0,-5940.0,0.0,4,76062289.0
000785.SZ,0.0,-5940.0,0.0,4,56819910.0
000786.SZ,0.0,-5940.0,0.0,4,136447931.0
000788.SZ,0.0,-5940.0,0.0,4,45308986.0
000789.SZ,0.0,-5940.0,0.0,4,26167479.0
000790.SZ,0.0,-5940.0,0.0,4,22395570.0
000791.SZ,0.0,-5940.0,0.0,4,34129001.0
000792.SZ,0.0,-1137.0,0.0,4,480919971.0
000793.SZ,0.0,-5940.0,0.0,4,185585141.0
000795.SZ,0.0,-1137.0,0.0,4,157458370.0
000796.SZ,0.0,-5940.0,0.0,4,51258607.0
000797.SZ,0.0,-5940.0,0.0,4,44388749.0
000798.SZ,0.0,-5940.0,0.0,4,59524008.0
000799.SZ,0.0,-5940.0,0.0,4,717305429.0
000800.SZ,0.0,-5940.0,0.0,4,107973470.0
000801.SZ,0.0,-5940.0,0.0,4,55995024.0
000802.SZ,0.0,-5940.0,0.0,4,61506300.0
000803.SZ,0.0,-5940.0,0.0,4,48255509.0
000806.SZ,0.0,-1137.0,1.0,4,11865520.0
000807.SZ,0.0,-5940.0,0.0,4,315394903.0
000809.SZ,0.0,-5940.0,0.0,4,33377203.0
000810.SZ,0.0,-1137.0,1.0,4,1772497972.0
000811.SZ,0.0,-1137.0,0.0,4,74372565.0
000812.SZ,0.0,-5940.0,0.0,4,75090962.0
000813.SZ,0.0,-5940.0,0.0,4,43058881.0
000815.SZ,0.0,-5940.0,0.0,4,455268419.0
000816.SZ,0.0,-5940.0,0.0,4,58087465.0
000818.SZ,0.0,-5940.0,0.0,4,588507378.0
000819.SZ,0.0,-5940.0,0.0,4,105929764.0
000820.SZ,0.0,-5940.0,0.0,4,30495948.0
000821.SZ,0.0,-462.0,0.0,4,951835403.0
000822.SZ,0.0,-462.0,0.0,4,72407384.0
000823.SZ,0.0,-5940.0,0.0,4,167742502.0
000825.SZ,0.0,-5940.0,0.0,4,72584295.0
000826.SZ,0.0,-5940.0,0.0,4,72620615.0
