,weight,score,udstatus,tradestatus,amt,no_sell,no_buy,rank,w_lim,tgt_pos,tgt_trade,w_buy,w_sell
301023.SZ,-0.0,-5702.0,0.0,4,13552890.0,False,False,2813,8.842033354466689e-05,0.0,0.0,0.0,0.0
301024.SZ,-0.0,-5704.0,0.0,4,6955322.0,False,False,2814,4.5377177203575004e-05,0.0,0.0,0.0,0.0
301025.SZ,0.0,-5706.0,0.0,4,179799675.0,False,False,2815,0.001173030050027906,0.0,0.0,0.0,0.0
301026.SZ,-0.0,-5708.0,0.0,4,50302302.0,False,False,2816,0.00032817696601275184,0.0,0.0,0.0,0.0
301027.SZ,0.0,-5710.0,0.0,4,28439990.0,False,False,2817,0.0001855451790582666,0.0,0.0,0.0,0.0
301028.SZ,-0.0,-5712.0,0.0,4,14072842.0,False,False,2818,9.181254946815013e-05,0.0,0.0,0.0,0.0
301029.SZ,-0.0,-5714.0,0.0,4,148552991.0,False,False,2819,0.0009691737344048318,0.0,0.0,0.0,0.0
301032.SZ,-0.0,-5716.0,0.0,4,6933644.0,False,False,2820,4.523574788550474e-05,0.0,0.0,0.0,0.0
301033.SZ,0.0,-5718.0,0.0,4,56706725.0,False,False,2821,0.0003699600261439221,0.0,0.0,0.0,0.0
301036.SZ,-0.0,-5720.0,0.0,4,28863462.0,False,False,2822,0.00018830795035551962,0.0,0.0,0.0,0.0
301037.SZ,0.0,-5722.0,0.0,4,4926874.0,False,False,2823,3.214339099723728e-05,0.0,0.0,0.0,0.0
301038.SZ,0.0,-5724.0,0.0,4,22450411.0,False,False,2824,0.00014646860033799865,0.0,0.0,0.0,0.0
301039.SZ,-0.0,-5726.0,0.0,4,119539357.0,False,False,2825,0.0007798860477473817,0.0,0.0,0.0,0.0
301040.SZ,0.0,-5728.0,0.0,4,19642959.0,False,False,2826,0.0001281525185096475,0.0,0.0,0.0,0.0
301041.SZ,0.0,-5730.0,0.0,4,277471896.0,False,False,2827,0.0018102528385894909,0.0,0.0,0.0,0.0
