,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,last_roe
155,300341,2022-12-31,1320,麦克奥迪,2023-04-11,,,,2023-04-11,46.154148596951,260208900.0,18.19,2023-02-27,2023-03-15,27 days,1,2021-12-31,15.24
158,300389,2022-12-31,867,艾比森,2023-03-31,,,,2023-03-31,568.690697651118,200218700.0,15.23,2023-02-28,2023-03-15,16 days,2,2021-12-31,2.48
159,300407,2022-12-31,3124,凯发电气,2023-04-26,,,,2023-04-26,30.765738482074,88116262.14,5.83,2023-02-28,2023-03-15,42 days,1,2021-12-31,4.67
164,300433,2022-12-31,2547,蓝思科技,2023-04-24,,,,2023-04-24,20.080861173643,2485965543.99,5.75,2023-02-28,2023-03-15,40 days,1,2021-12-31,4.87
170,300481,2022-12-31,871,濮阳惠成,2023-03-31,,,,2023-03-31,65.630377550552,418499600.0,19.56,2023-02-27,2023-03-15,16 days,2,2021-12-31,16.27
171,300484,2022-12-31,3139,蓝海华腾,2023-04-26,,,,2023-04-26,35.586124280137,83944354.85,13.06,2023-02-20,2023-03-15,42 days,1,2021-12-31,10.08
172,300487,2022-12-31,3140,蓝晓科技,2023-04-26,,,,2023-04-26,73.002459683571,537789555.75,22.67,2023-03-13,2023-03-15,42 days,1,2021-12-31,16.43
174,300498,2022-12-31,3144,温氏股份,2023-04-26,,,,2023-04-26,138.941471512371,5219854700.0,14.38,2023-02-20,2023-03-15,42 days,1,2021-12-31,-34.18
177,300557,2022-12-31,2393,理工光科,2023-04-22,,,,2023-04-22,47.491908785911,19914800.0,2.44,2023-03-10,2023-03-15,38 days,1,2021-12-31,2.73
178,300570,2022-12-31,877,太辰光,2023-03-31,,,,2023-03-31,151.490986037969,180461769.29,14.54,2023-03-13,2023-03-15,16 days,2,2021-12-31,6.0
181,300625,2022-12-31,2399,三雄极光,2023-04-22,,,,2023-04-22,286.80402794284,101947220.54,4.67,2023-02-27,2023-03-15,38 days,1,2021-12-31,1.14
182,300627,2022-12-31,2557,华测导航,2023-04-24,2023-04-18,,,2023-04-18,22.891660407538,361714996.76,15.0,2023-02-03,2023-03-15,40 days,1,2021-12-31,17.82
183,300628,2022-12-31,2400,亿联网络,2023-04-22,,,,2023-04-22,35.151351380785,2184154500.0,30.98,2023-02-28,2023-03-15,38 days,1,2021-12-31,28.26
186,300666,2022-12-31,1179,江丰电子,2023-04-07,,,,2023-04-07,153.652111095975,270460972.64,12.23,2023-02-27,2023-03-15,23 days,1,2021-12-31,8.77
189,300693,2022-12-31,3167,盛弘股份,2023-04-26,2023-03-23,,,2023-03-23,97.019041707619,223517717.98,23.52,2023-02-27,2023-03-15,42 days,1,2021-12-31,14.2
190,300699,2022-12-31,470,光威复材,2023-03-28,,,,2023-03-28,22.881297265879,931910500.0,21.19,2023-01-12,2023-03-15,13 days,2,2021-12-31,19.6
193,300739,2022-12-31,886,明阳电路,2023-03-31,,,,2023-03-31,66.418378040183,182467600.0,10.15,2023-03-13,2023-03-15,16 days,2,2021-12-31,6.92
195,300780,2022-12-31,891,德恩精工,2023-03-31,2023-04-21,,,2023-04-21,57.85629924308,112137800.0,9.69,2023-03-13,2023-03-15,16 days,2,2021-12-31,6.57
197,300803,2022-12-31,2810,指南针,2023-04-25,,,,2023-04-25,95.076262299656,343717923.0,23.01,2023-03-13,2023-03-15,41 days,1,2021-12-31,14.66
198,300852,2022-12-31,897,四会富仕,2023-03-31,,,,2023-03-31,22.442497511455,225593200.0,19.96,2023-03-13,2023-03-15,16 days,2,2021-12-31,18.7
200,300861,2022-12-31,2418,美畅股份,2023-04-22,,,,2023-04-22,92.997793628809,1472913348.78,32.58,2023-03-13,2023-03-15,38 days,1,2021-12-31,20.52
201,300938,2022-12-31,900,信测标准,2023-03-31,2023-04-04,,,2023-04-04,47.485688089668,118070700.0,11.03,2023-03-13,2023-03-15,16 days,2,2021-12-31,8.54
205,301076,2022-12-31,5,新瀚新材,2023-02-18,,,,2023-02-18,61.321410739687,106946900.0,10.24,2023-02-14,2023-03-15,-25 days,1,2021-12-31,11.77
207,301095,2022-12-31,324,广立微,2023-03-24,,,,2023-03-24,91.969021083193,122374890.34,9.22,2023-03-13,2023-03-15,9 days,3,2021-12-31,19.7
208,301096,2022-12-31,553,百诚医药,2023-03-29,,,,2023-03-29,74.873410886778,194263817.99,8.16,2023-03-13,2023-03-15,14 days,2,2021-12-31,27.94
209,301127,2022-12-31,150,天源环保,2023-03-16,,,,2023-03-16,26.178297609883,202129241.46,9.98,2023-03-14,2023-03-15,1 days,3,2021-12-31,23.0
210,301216,2022-12-31,170,万凯新材,2023-03-17,2023-03-31,,,2023-03-31,116.528552329418,956849200.0,21.67,2023-03-13,2023-03-15,2 days,3,2021-12-31,28.16
211,301238,2022-12-31,3236,瑞泰新材,2023-04-26,,,,2023-04-26,27.175695062024,766029006.01,16.56,2023-02-28,2023-03-15,42 days,1,2021-12-31,26.39
213,301282,2022-12-31,680,金禄电子,2023-03-30,,,,2023-03-30,40.873025765388,141275500.0,15.02,2023-01-31,2023-03-15,15 days,2,2021-12-31,20.85
