,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,公告日期,trade_date,time_distance
67,600351,2023-06-30,1212,亚宝药业,2023-08-23,,,,,67.354067233453,168027500.0,2023-08-04 00:00:00,2023-05-25,90 days
70,600418,2023-06-30,2359,江淮汽车,2023-08-26,,,,,121.302989771822,151673900.0,2023-08-04 00:00:00,2023-05-25,93 days
71,600420,2023-06-30,3311,国药现代,2023-08-29,,,,,53.409988266579,344942841.46,2023-07-25 00:00:00,2023-05-25,96 days
72,600428,2023-06-30,4127,中远海特,2023-08-30,,,,,91.659045888503,643409000.0,2023-07-06 00:00:00,2023-05-25,97 days
77,600572,2023-06-30,614,康恩贝,2023-08-18,,,,,143.009677882589,516131900.0,2023-08-05 00:00:00,2023-05-25,85 days
81,600728,2023-06-30,1893,佳都科技,2023-08-25,,,,,86.340146559405,364255127.77,2023-08-15 00:00:00,2023-05-25,92 days
82,600732,2023-06-30,4781,爱旭股份,2023-08-31,,,,,119.603214525769,1308823300.0,2023-08-04 00:00:00,2023-05-25,98 days
83,600761,2023-06-30,300,安徽合力,2023-08-12,,,,2023-08-12,52.509724785872,658098210.38,2023-08-05 00:00:00,2023-05-25,79 days
85,600909,2023-03-31,3224,华安证券,2023-04-28,,,,2023-04-28,242.382749436205,364221044.69,2023-04-22 00:00:00,2023-05-25,-27 days
87,600918,2023-06-30,3359,中泰证券,2023-08-29,,,,,79.78500986453,1638828100.0,2023-08-15 00:00:00,2023-05-25,96 days
90,600958,2023-06-30,4820,东方证券,2023-08-31,,,,,193.721411036614,1901450200.0,2023-08-15 00:00:00,2023-05-25,98 days
92,601066,2023-03-31,3250,中信建投,2023-04-28,,,,2023-04-28,57.782592056872,2432550000.0,2023-04-24 00:00:00,2023-05-25,-27 days
102,601555,2023-03-31,4539,东吴证券,2023-04-29,,,,2023-04-29,412.836672538602,583119400.0,2023-04-21 00:00:00,2023-05-25,-26 days
110,601890,2023-06-30,3391,亚星锚链,2023-08-29,,,,,88.055721224598,109654872.34,2023-08-05 00:00:00,2023-05-25,96 days
113,601958,2023-06-30,824,金钼股份,2023-08-19,,,,,117.151294025578,1443994000.0,2023-07-20 00:00:00,2023-05-25,86 days
118,603083,2023-06-30,4887,剑桥科技,2023-08-31,2023-08-18,,,,278.809065659983,155928300.0,2023-08-04 00:00:00,2023-05-25,98 days
119,603090,2023-06-30,4242,宏盛股份,2023-08-30,,,,,158.354816596667,38550572.64,2023-08-04 00:00:00,2023-05-25,97 days
120,603093,2023-03-31,995,南华期货,2023-04-25,,,,2023-04-25,121.742920165078,62327500.0,2023-04-13 00:00:00,2023-05-25,-30 days
123,603220,2023-06-30,86,中贝通信,2023-08-01,2023-08-15,,,2023-08-15,75.209855076896,66080190.41,2023-08-04 00:00:00,2023-05-25,68 days
126,603328,2023-06-30,3421,依顿电子,2023-08-29,,,,,50.179209885613,184528705.22,2023-08-07 00:00:00,2023-05-25,96 days
128,603519,2023-06-30,660,立霸股份,2023-08-18,,,,,110.679166613804,668101713.02,2023-08-03 00:00:00,2023-05-25,85 days
130,603619,2023-03-31,4708,中曼石油,2023-04-29,2023-04-28,,,2023-04-28,193.398355025982,212611631.27,2023-04-20 00:00:00,2023-05-25,-26 days
131,603628,2023-06-30,4917,清源股份,2023-08-31,,,,,281.612263856392,108539182.12,2023-08-04 00:00:00,2023-05-25,98 days
132,603679,2023-06-30,1451,华体科技,2023-08-24,,,,,242.151565650087,23305096.67,2023-08-04 00:00:00,2023-05-25,91 days
133,603683,2023-06-30,2510,晶华新材,2023-08-26,,,,,882.932203678874,13589391.84,2023-08-05 00:00:00,2023-05-25,93 days
136,603758,2023-06-30,1073,秦安股份,2023-08-22,,,,,67.02708629261,128195848.57,2023-08-03 00:00:00,2023-05-25,89 days
139,603881,2023-06-30,2523,数据港,2023-08-26,,,,,65.04445262346,68655186.55,2023-08-16 00:00:00,2023-05-25,93 days
141,603997,2023-06-30,398,继峰股份,2023-08-15,2023-08-31,,,,148.991394841811,82441913.64,2023-08-15 00:00:00,2023-05-25,82 days
147,688212,2023-06-30,405,澳华内镜,2023-08-15,,,,2023-08-15,651.458341555827,38079400.0,2023-08-05 00:00:00,2023-05-25,82 days
